snapshot_date,expiration,dte,spot,atm_strike,atm_iv,atm_call_iv,atm_put_iv,atm_call_oi,atm_put_oi
2026-05-14,2026-06-12,29,282.67,282.5,0.228584,,0.228584,0,97
2026-05-14,2026-06-18,35,282.67,283.0,0.238655,,0.238655,0,1218
2026-05-14,2026-06-26,43,282.67,282.5,0.21711,,0.21711,0,19
2026-05-14,2026-06-30,47,282.67,283.0,0.228706,,0.228706,0,96
2026-05-14,2026-09-18,127,282.67,285.0,0.21296,,0.21296,0,2175
2026-05-14,2026-09-30,139,282.67,285.0,0.22123,,0.22123,0,156
2026-05-14,2026-10-16,155,282.67,285.0,0.212166,,0.212166,0,2408
2026-05-14,2026-11-20,190,282.67,285.0,0.211876,,0.211876,0,1070
2026-05-14,2026-12-18,218,282.67,285.0,0.211281,,0.211281,0,1070
2026-05-14,2027-04-16,337,282.67,285.0,0.228355,,0.228355,0,72
2026-05-14,2027-06-17,399,282.67,285.0,0.272041,0.272041,,394,0
2026-05-14,2027-09-17,491,282.67,285.0,0.28762,0.28762,,37,0
2026-05-14,2027-12-17,582,282.67,285.0,0.289039,0.289039,,100,0
2026-05-14,2028-01-21,617,282.67,285.0,0.287635,0.287635,,505,0
2026-05-14,2028-12-15,946,282.67,285.0,0.296829,0.296829,,133,0
