snapshot_date,expiration,dte,spot,atm_strike,atm_iv,atm_call_iv,atm_put_iv,atm_call_oi,atm_put_oi
2026-05-14,2026-05-14,0,719.79,720.0,0.037851,0.037851,,4304,365
2026-05-14,2026-05-15,1,719.79,720.0,0.157296,0.171395,0.143197,14395,2573
2026-05-14,2026-05-18,4,719.79,720.0,0.154519,0.165231,0.143807,2293,2050
2026-05-14,2026-05-19,5,719.79,720.0,0.172707,0.184212,0.161202,1121,86
2026-05-14,2026-05-20,6,719.79,720.0,0.190072,0.201241,0.178902,1130,366
2026-05-14,2026-05-21,7,719.79,720.0,0.209206,0.220711,0.197701,1400,270
2026-05-14,2026-05-22,8,719.79,720.0,0.217522,0.230934,0.20411,5517,263
2026-05-14,2026-05-29,15,719.79,720.0,0.214119,0.228066,0.200173,7599,277
2026-05-14,2026-06-05,22,719.79,720.0,0.219536,0.234352,0.20472,2062,299
2026-05-14,2026-06-12,29,719.79,720.0,0.219803,0.236656,0.20295,1095,184
2026-05-14,2026-06-18,35,719.79,720.0,0.219788,0.237114,0.202462,9720,1727
2026-05-14,2026-06-26,43,719.79,720.0,0.234444,0.234444,,317,
2026-05-14,2026-06-30,47,719.79,720.0,0.217049,0.23243,0.201668,1424,138
2026-05-14,2026-07-17,64,719.79,720.0,0.221909,0.239861,0.203957,4662,1773
2026-05-14,2026-07-31,78,719.79,720.0,0.227631,0.248299,0.206963,481,69
2026-05-14,2026-08-21,99,719.79,720.0,0.232147,0.25634,0.207955,3126,978
2026-05-14,2026-09-18,127,719.79,720.0,0.235512,0.26252,0.208504,7115,1722
2026-05-14,2026-09-30,139,719.79,720.0,0.235535,0.262008,0.209061,623,36
2026-05-14,2026-10-16,155,719.79,720.0,0.238651,0.266487,0.210816,1178,186
2026-05-14,2026-12-18,218,719.79,720.0,0.244705,0.278228,0.211182,8281,199
2026-05-14,2026-12-31,231,719.79,720.0,0.243919,0.277961,0.209877,2379,1348
2026-05-14,2027-01-15,246,719.79,720.0,0.245331,0.280372,0.210289,1731,226
2026-05-14,2027-03-19,309,719.79,720.0,0.248501,0.288207,0.208794,581,39
2026-05-14,2027-03-31,321,719.79,720.0,0.248402,0.288246,0.208557,67,275
2026-05-14,2027-06-17,399,719.79,720.0,0.251987,0.298431,0.205544,3017,120
2026-05-14,2027-09-17,491,719.79,720.0,0.253729,0.305194,0.202263,184,7
2026-05-14,2027-12-17,582,719.79,720.0,0.252348,0.305232,0.199463,393,101
2026-05-14,2028-01-21,617,719.79,720.0,0.256922,0.311328,0.202515,275,34
2026-05-14,2028-06-16,764,719.79,720.0,0.256372,0.317962,0.194783,331,11
2026-05-14,2028-12-15,946,719.79,720.0,0.258575,0.32698,0.190171,57,11
2026-05-15,2026-05-15,0,708.93,709.0,0.213753,,0.213753,3027,6954
2026-05-15,2026-05-18,3,708.93,709.0,0.143044,0.112314,0.173775,1497,1008
2026-05-15,2026-05-19,4,708.93,709.0,0.168099,0.141488,0.19471,267,288
2026-05-15,2026-05-20,5,708.93,709.0,0.198677,0.175484,0.221871,493,278
2026-05-15,2026-05-21,6,708.93,709.0,0.219322,0.199257,0.239387,100,164
2026-05-15,2026-05-22,7,708.93,709.0,0.226662,0.210762,0.242561,1727,383
2026-05-15,2026-05-26,11,708.93,709.0,0.208947,0.19703,0.220864,67,106
2026-05-15,2026-05-27,12,708.93,709.0,0.213112,0.202401,0.223824,0,13
2026-05-15,2026-05-28,13,708.93,709.0,0.217461,0.207863,0.227059,1,11
2026-05-15,2026-05-29,14,708.93,709.0,0.222222,0.214607,0.229836,175,256
2026-05-15,2026-06-05,21,708.93,709.0,0.223961,0.221413,0.226509,39,167
2026-05-15,2026-06-12,28,708.93,709.0,0.224625,0.225594,0.223656,159,113
2026-05-15,2026-06-18,34,708.93,709.0,0.225716,0.229332,0.222099,286,152
2026-05-15,2026-06-26,42,708.93,709.0,0.223686,0.226067,0.221306,12,90
2026-05-15,2026-06-30,46,708.93,709.0,0.221848,0.224617,0.219078,45,5
2026-05-15,2026-07-17,63,708.93,710.0,0.223992,0.231163,0.21682,4355,1603
2026-05-15,2026-07-31,77,708.93,709.0,0.228829,0.239342,0.218315,173,72
2026-05-15,2026-08-21,98,708.93,710.0,0.230576,0.24482,0.216332,1469,1013
2026-05-15,2026-09-18,126,708.93,710.0,0.234314,0.253303,0.215325,23852,1365
2026-05-15,2026-09-30,138,708.93,710.0,0.236549,0.257454,0.215645,369,398
2026-05-15,2026-10-16,154,708.93,710.0,0.237221,0.258537,0.215904,1255,232
2026-05-15,2026-12-18,217,708.93,710.0,0.243629,0.271293,0.215965,3484,1517
2026-05-15,2026-12-31,230,708.93,710.0,0.247234,0.27552,0.218949,1726,1526
2026-05-15,2027-01-15,245,708.93,710.0,0.243774,0.273864,0.213684,1368,216
2026-05-15,2027-03-19,308,708.93,710.0,0.251304,0.286544,0.216065,2688,588
2026-05-15,2027-03-31,320,708.93,710.0,0.249607,0.287216,0.211998,177,450
2026-05-15,2027-06-17,398,708.93,710.0,0.255829,0.296874,0.214783,2261,657
2026-05-15,2027-09-17,490,708.93,710.0,0.256164,0.301566,0.210762,435,16
2026-05-15,2027-12-17,581,708.93,710.0,0.254518,0.30685,0.202187,912,1037
2026-05-15,2028-01-21,616,708.93,710.0,0.254715,0.307708,0.201722,190,20
2026-05-15,2028-06-16,763,708.93,710.0,0.2563,0.315231,0.197369,100,60
2026-05-15,2028-12-15,945,708.93,710.0,0.258381,0.323966,0.192795,113,125
